TABLE_NAME	CONSTRAINT_NAME	CONSTRAINT_TYPE	COLUMN_NAME	REFERENCED_TABLE_NAME	REFERENCED_COLUMN_NAME
exchange_channel_prices	exchange_channel_prices_ibfk_1	FOREIGN KEY	sku_id	exchange_item_skus	sku_id
exchange_channel_prices	PRIMARY	PRIMARY KEY	id	NULL	NULL
exchange_channel_prices	uk_exchange_price_sku_asset	UNIQUE	sku_id	NULL	NULL
exchange_channel_prices	uk_exchange_price_sku_asset	UNIQUE	cost_asset_code	NULL	NULL
exchange_item_attribute_values	exchange_item_attribute_values_ibfk_1	FOREIGN KEY	exchange_item_id	exchange_items	exchange_item_id
exchange_item_attribute_values	exchange_item_attribute_values_ibfk_2	FOREIGN KEY	attribute_id	attributes	attribute_id
exchange_item_attribute_values	PRIMARY	PRIMARY KEY	id	NULL	NULL
exchange_item_attribute_values	uk_product_attribute	UNIQUE	exchange_item_id	NULL	NULL
exchange_item_attribute_values	uk_product_attribute	UNIQUE	attribute_id	NULL	NULL
exchange_item_skus	exchange_item_skus_ibfk_1	FOREIGN KEY	exchange_item_id	exchange_items	exchange_item_id
exchange_item_skus	exchange_item_skus_ibfk_2	FOREIGN KEY	image_id	media_files	media_id
exchange_item_skus	PRIMARY	PRIMARY KEY	sku_id	NULL	NULL
exchange_item_skus	sku_code	UNIQUE	sku_code	NULL	NULL
exchange_item_suppliers	exchange_item_suppliers_ibfk_1	FOREIGN KEY	exchange_item_id	exchange_items	exchange_item_id
exchange_item_suppliers	exchange_item_suppliers_ibfk_2	FOREIGN KEY	supplier_id	suppliers	supplier_id
exchange_item_suppliers	PRIMARY	PRIMARY KEY	id	NULL	NULL
exchange_item_suppliers	uk_item_supplier	UNIQUE	exchange_item_id	NULL	NULL
exchange_item_suppliers	uk_item_supplier	UNIQUE	supplier_id	NULL	NULL
exchange_items	exchange_items_ibfk_1	FOREIGN KEY	category_id	categories	category_id
exchange_items	exchange_items_ibfk_2	FOREIGN KEY	primary_media_id	media_files	media_id
exchange_items	exchange_items_ibfk_3	FOREIGN KEY	item_template_id	item_templates	item_template_id
exchange_items	exchange_items_ibfk_4	FOREIGN KEY	rarity_code	rarity_defs	rarity_code
exchange_items	exchange_items_merchant_id_foreign_idx	FOREIGN KEY	merchant_id	merchants	merchant_id
exchange_items	fk_exchange_items_series	FOREIGN KEY	series_id	product_series	series_id
exchange_items	PRIMARY	PRIMARY KEY	exchange_item_id	NULL	NULL
exchange_items	uk_item_code	UNIQUE	item_code	NULL	NULL
exchange_items	uk_series_seq	UNIQUE	series_id	NULL	NULL
exchange_items	uk_series_seq	UNIQUE	series_seq	NULL	NULL
exchange_order_events	exchange_order_events_ibfk_2	FOREIGN KEY	operator_id	users	user_id
exchange_order_events	exchange_order_events_order_no_fk	FOREIGN KEY	order_no	exchange_records	order_no
exchange_order_events	idempotency_key	UNIQUE	idempotency_key	NULL	NULL
exchange_order_events	PRIMARY	PRIMARY KEY	event_id	NULL	NULL
exchange_records	exchange_records_exchange_item_id_fk	FOREIGN KEY	exchange_item_id	exchange_items	exchange_item_id
exchange_records	exchange_records_ibfk_1	FOREIGN KEY	user_id	users	user_id
exchange_records	exchange_records_item_id_foreign_idx	FOREIGN KEY	item_id	items	item_id
exchange_records	exchange_records_sku_id_fk	FOREIGN KEY	sku_id	exchange_item_skus	sku_id
exchange_records	order_no	UNIQUE	order_no	NULL	NULL
exchange_records	PRIMARY	PRIMARY KEY	exchange_record_id	NULL	NULL
exchange_records	uk_exchange_records_business_id	UNIQUE	business_id	NULL	NULL
exchange_records	uk_exchange_records_idempotency_key	UNIQUE	idempotency_key	NULL	NULL
exchange_records	uk_order_no	UNIQUE	order_no	NULL	NULL
exchange_redeem_requirement	exchange_redeem_requirement_ibfk_1	FOREIGN KEY	exchange_item_id	exchange_items	exchange_item_id
exchange_redeem_requirement	PRIMARY	PRIMARY KEY	exchange_redeem_requirement_id	NULL	NULL
external_channel_mappings	external_channel_mappings_ibfk_1	FOREIGN KEY	exchange_item_id	exchange_items	exchange_item_id
external_channel_mappings	PRIMARY	PRIMARY KEY	id	NULL	NULL
external_channel_mappings	uk_channel_external	UNIQUE	channel	NULL	NULL
external_channel_mappings	uk_channel_external	UNIQUE	external_item_id	NULL	NULL
feature_flags	flag_key	UNIQUE	flag_key	NULL	NULL
feature_flags	PRIMARY	PRIMARY KEY	feature_flag_id	NULL	NULL
feedbacks	feedbacks_ibfk_1	FOREIGN KEY	user_id	users	user_id
feedbacks	feedbacks_ibfk_2	FOREIGN KEY	admin_id	users	user_id
feedbacks	PRIMARY	PRIMARY KEY	feedback_id	NULL	NULL
item_holds	item_holds_ibfk_1	FOREIGN KEY	item_id	items	item_id
item_holds	PRIMARY	PRIMARY KEY	hold_id	NULL	NULL
item_ledger	item_ledger_ibfk_1	FOREIGN KEY	item_id	items	item_id
item_ledger	item_ledger_ibfk_2	FOREIGN KEY	account_id	accounts	account_id
item_ledger	item_ledger_ibfk_3	FOREIGN KEY	counterpart_id	accounts	account_id
item_ledger	PRIMARY	PRIMARY KEY	ledger_entry_id	NULL	NULL
item_ledger	uk_item_idempotency	UNIQUE	item_id	NULL	NULL
item_ledger	uk_item_idempotency	UNIQUE	idempotency_key	NULL	NULL
item_templates	fk_item_templates_category	FOREIGN KEY	category_id	categories	category_id
item_templates	item_templates_ibfk_2	FOREIGN KEY	rarity_code	rarity_defs	rarity_code
item_templates	item_templates_primary_media_id_foreign_idx	FOREIGN KEY	primary_media_id	media_files	media_id
item_templates	PRIMARY	PRIMARY KEY	item_template_id	NULL	NULL
item_templates	template_code	UNIQUE	template_code	NULL	NULL
items	items_batch_id_foreign_idx	FOREIGN KEY	batch_id	product_batches	batch_id
items	items_ibfk_1	FOREIGN KEY	owner_account_id	accounts	account_id
items	items_item_template_id_foreign_idx	FOREIGN KEY	item_template_id	item_templates	item_template_id
items	items_merchant_id_foreign_idx	FOREIGN KEY	merchant_id	merchants	merchant_id
items	PRIMARY	PRIMARY KEY	item_id	NULL	NULL
items	tracking_code	UNIQUE	tracking_code	NULL	NULL
lottery_alerts	lottery_alerts_ibfk_1	FOREIGN KEY	lottery_campaign_id	lottery_campaigns	lottery_campaign_id
lottery_alerts	lottery_alerts_ibfk_2	FOREIGN KEY	resolved_by	users	user_id
lottery_alerts	PRIMARY	PRIMARY KEY	lottery_alert_id	NULL	NULL
lottery_campaign_pricing_config	fk_pricing_config_campaign	FOREIGN KEY	lottery_campaign_id	lottery_campaigns	lottery_campaign_id
lottery_campaign_pricing_config	fk_pricing_config_creator	FOREIGN KEY	created_by	users	user_id
lottery_campaign_pricing_config	fk_pricing_config_updater	FOREIGN KEY	updated_by	users	user_id
lottery_campaign_pricing_config	PRIMARY	PRIMARY KEY	lottery_campaign_pricing_config_id	NULL	NULL
lottery_campaign_pricing_config	uk_campaign_version	UNIQUE	lottery_campaign_id	NULL	NULL
lottery_campaign_pricing_config	uk_campaign_version	UNIQUE	version	NULL	NULL
lottery_campaign_prizes	fk_campaign_prizes_campaign	FOREIGN KEY	lottery_campaign_id	lottery_campaigns	lottery_campaign_id
