TABLE_NAME	INDEX_NAME	COLUMN_NAME	NON_UNIQUE	SEQ_IN_INDEX	INDEX_TYPE
diy_templates	diy_templates_preview_media_id_foreign_idx	preview_media_id	1	1	BTREE
diy_templates	idx_diy_templates_active_sort	sort_order	1	1	BTREE
diy_templates	idx_diy_templates_category	category_id	1	1	BTREE
diy_templates	idx_diy_templates_is_enabled	is_enabled	1	1	BTREE
diy_templates	idx_diy_templates_status	status	1	1	BTREE
diy_templates	PRIMARY	diy_template_id	0	1	BTREE
diy_templates	uk_diy_templates_template_code	template_code	0	1	BTREE
diy_works	diy_works_item_id_foreign_idx	item_id	1	1	BTREE
diy_works	diy_works_preview_media_id_foreign_idx	preview_media_id	1	1	BTREE
diy_works	idx_diy_works_account_status	account_id	1	1	BTREE
diy_works	idx_diy_works_account_status	status	1	2	BTREE
diy_works	idx_diy_works_template	diy_template_id	1	1	BTREE
diy_works	PRIMARY	diy_work_id	0	1	BTREE
diy_works	uk_diy_works_idempotency_key	idempotency_key	0	1	BTREE
diy_works	uk_diy_works_work_code	work_code	0	1	BTREE
exchange_channel_prices	idx_exchange_price_enabled	is_enabled	1	1	BTREE
exchange_channel_prices	PRIMARY	id	0	1	BTREE
exchange_channel_prices	uk_exchange_price_sku_asset	sku_id	0	1	BTREE
exchange_channel_prices	uk_exchange_price_sku_asset	cost_asset_code	0	2	BTREE
exchange_item_attribute_values	exchange_item_attribute_values_ibfk_2	attribute_id	1	1	BTREE
exchange_item_attribute_values	PRIMARY	id	0	1	BTREE
exchange_item_attribute_values	uk_product_attribute	exchange_item_id	0	1	BTREE
exchange_item_attribute_values	uk_product_attribute	attribute_id	0	2	BTREE
exchange_item_skus	exchange_item_skus_ibfk_2	image_id	1	1	BTREE
exchange_item_skus	idx_product_skus_product_status	exchange_item_id	1	1	BTREE
exchange_item_skus	idx_product_skus_product_status	status	1	2	BTREE
exchange_item_skus	idx_product_skus_status_stock	status	1	1	BTREE
exchange_item_skus	idx_product_skus_status_stock	stock	1	2	BTREE
exchange_item_skus	PRIMARY	sku_id	0	1	BTREE
exchange_item_skus	sku_code	sku_code	0	1	BTREE
exchange_items	exchange_items_ibfk_2	primary_media_id	1	1	BTREE
exchange_items	idx_products_category_status	category_id	1	1	BTREE
exchange_items	idx_products_category_status	status	1	2	BTREE
exchange_items	idx_products_item_template	item_template_id	1	1	BTREE
exchange_items	idx_products_pinned	is_pinned	1	1	BTREE
exchange_items	idx_products_pinned	pinned_at	1	2	BTREE
exchange_items	idx_products_rarity	rarity_code	1	1	BTREE
exchange_items	idx_products_space_status	space	1	1	BTREE
exchange_items	idx_products_space_status	status	1	2	BTREE
exchange_items	idx_products_status_sort	status	1	1	BTREE
exchange_items	idx_products_status_sort	sort_order	1	2	BTREE
exchange_items	PRIMARY	exchange_item_id	0	1	BTREE
exchange_order_events	idempotency_key	idempotency_key	0	1	BTREE
exchange_order_events	idx_exchange_order_events_operator_id	operator_id	1	1	BTREE
exchange_order_events	idx_exchange_order_events_order_no	order_no	1	1	BTREE
exchange_order_events	idx_exchange_order_events_status_time	new_status	1	1	BTREE
exchange_order_events	idx_exchange_order_events_status_time	created_at	1	2	BTREE
exchange_order_events	PRIMARY	event_id	0	1	BTREE
exchange_rates	idx_from_asset_status	from_asset_code	1	1	BTREE
exchange_rates	idx_from_asset_status	status	1	2	BTREE
exchange_rates	PRIMARY	exchange_rate_id	0	1	BTREE
exchange_rates	uk_exchange_rate_pair	from_asset_code	0	1	BTREE
exchange_rates	uk_exchange_rate_pair	to_asset_code	0	2	BTREE
exchange_rates	uk_exchange_rate_pair	priority	0	3	BTREE
exchange_rates	uk_exchange_rate_pair	status	0	4	BTREE
exchange_records	exchange_records_sku_id_fk	sku_id	1	1	BTREE
exchange_records	idx_created_at	created_at	1	1	BTREE
exchange_records	idx_exchange_records_debit_tx_id	debit_transaction_id	1	1	BTREE
exchange_records	idx_exchange_records_item	item_id	1	1	BTREE
exchange_records	idx_exchange_records_rating	exchange_item_id	1	1	BTREE
exchange_records	idx_exchange_records_rating	rating	1	2	BTREE
exchange_records	idx_exchange_records_shipping_no	shipping_no	1	1	BTREE
exchange_records	idx_exchange_records_source	source	1	1	BTREE
exchange_records	idx_exchange_shipped_at	status	1	1	BTREE
exchange_records	idx_exchange_shipped_at	shipped_at	1	2	BTREE
exchange_records	idx_status	status	1	1	BTREE
exchange_records	idx_user_id	user_id	1	1	BTREE
exchange_records	order_no	order_no	0	1	BTREE
exchange_records	PRIMARY	exchange_record_id	0	1	BTREE
exchange_records	uk_exchange_records_business_id	business_id	0	1	BTREE
exchange_records	uk_exchange_records_idempotency_key	idempotency_key	0	1	BTREE
exchange_records	uk_order_no	order_no	0	1	BTREE
feature_flags	flag_key	flag_key	0	1	BTREE
feature_flags	idx_feature_flags_effective_time	effective_start	1	1	BTREE
feature_flags	idx_feature_flags_effective_time	effective_end	1	2	BTREE
feature_flags	idx_feature_flags_is_enabled	is_enabled	1	1	BTREE
feature_flags	PRIMARY	feature_flag_id	0	1	BTREE
feedbacks	idx_feedbacks_admin_id	admin_id	1	1	BTREE
feedbacks	idx_feedbacks_category_priority	category	1	1	BTREE
feedbacks	idx_feedbacks_category_priority	priority	1	2	BTREE
feedbacks	idx_feedbacks_status_created	status	1	1	BTREE
feedbacks	idx_feedbacks_status_created	created_at	1	2	BTREE
feedbacks	idx_feedbacks_user_status	user_id	1	1	BTREE
feedbacks	idx_feedbacks_user_status	status	1	2	BTREE
